scenario,sample_id,architecture,method,status,error_px,iou,angular_error_deg,scale_ratio_error,runtime_ms,score,failure_mode
"noise_pair=(5.0, 10.0)",finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.6675398983535229,0.9814985534679521,89.99115161563543,0.006225160301783328,325.14303300013125,0.662513170049505,scale_orientation_error
"noise_pair=(10.0, 20.0)",dram_0000,dram,NCC,ok,13.602940819637643,0.6547807606524204,45.0,0.0,60.07949600007123,0.5706577152013779,scale_orientation_error
"noise_pair=(10.0, 20.0)",dram_0000,dram,ORB-RANSAC,no_candidate,,,,,52.133765000235144,,missed_detection
"noise_pair=(10.0, 20.0)",dram_0000,dram,HYBRID-CONFIDENCE,ok,0.8249258687351685,0.9750436944151442,91.03038862914843,0.000714736518316772,284.7051150001789,0.7016772576451481,scale_orientation_error
"noise_pair=(10.0, 20.0)",finfet_0000,finfet,NCC,ok,26.671828999306918,0.4268153614806358,45.0,0.25,53.22033900029055,0.5536246635019779,false_positive
"noise_pair=(10.0, 20.0)",finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,53.80152700035978,,missed_detection
"noise_pair=(10.0, 20.0)",finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.7893487494257257,0.9780666597808921,90.62611077325664,0.0004654582355321235,321.52892000021893,0.6489891426052903,scale_orientation_error
combined_worst_case,dram_0000,dram,NCC,ok,37.36894377837744,0.2767222550263478,137.0,0.0,60.67683899982512,0.5558912567794323,false_positive
combined_worst_case,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,53.15109599996504,,missed_detection
combined_worst_case,dram_0000,dram,HYBRID-EQUAL,ok,0.7633013494245044,0.9549900005220886,87.4036341261151,0.007453111073601211,349.08558500001163,0.8281759036295564,scale_orientation_error
combined_worst_case,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.7633013494245044,0.9549900005220886,87.4036341261151,0.007453111073601211,293.06050000013784,0.7404968213200808,scale_orientation_error
combined_worst_case,finfet_0000,finfet,NCC,ok,341.190572731379,0.0,137.0,0.0,66.62328599986722,0.5450467132031918,false_positive
combined_worst_case,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,60.845885000162525,,missed_detection
combined_worst_case,finfet_0000,finfet,HYBRID-EQUAL,ok,2.2642835002057917,0.9005508399285012,87.74662318850449,0.05234865267003371,313.4492190001765,0.6614393586705685,scale_orientation_error
combined_worst_case,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,2.2642835002057917,0.9005508399285012,87.74662318850449,0.05234865267003371,307.41756499992334,0.5792823458632487,scale_orientation_error
